Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-05,2476.0,0.0,4.9756665,17.939999,1.1000001,93.878
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-06,4290.0,0.0,5.5340004,37.574997,1.8000003,90.914215
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-07,7278.0,0.0,3.2506664,54.959995,0.4,66.55646
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-08,5736.0,0.0,2.0131667,49.559998,0.90000004,66.86498
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-09,7580.0,0.0,1.6319166,48.69,0.1,64.69632
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-10,8719.0,0.0,1.2548333,34.710003,0.0,62.178165
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-11,8871.0,0.0,1.6340002,45.584995,0.1,67.17257
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-12,9768.0,0.0,2.3985834,45.434998,2.0,64.05785
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-13,2812.0,0.0,4.9152503,60.12,7.0999994,82.639
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-14,2014.0,0.0,10.450667,55.25999,3.1999998,85.306335
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-15,3176.0,0.0,10.646501,50.28,2.1,81.438644
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-16,3328.0,0.0,8.713166,49.229996,0.5,81.22387
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-17,3418.0,0.0,8.100667,51.84,9.699999,79.01506
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-18,3730.0,0.0,6.242333,53.580006,4.3,79.08156
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-19,3237.0,0.0,10.511085,59.669983,8.1,86.246315
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-20,2745.0,0.0,9.825667,52.95,5.3,81.03866
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-21,2579.0,0.0,8.331916,36.014996,0.0,73.84567
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-22,2883.0,0.0,8.394416,46.334995,4.2,73.59907
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-23,2218.0,0.0,12.125667,74.22,9.9000025,82.31829
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-24,3060.0,0.0,8.927751,44.37,2.2,82.590775
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-25,3323.0,0.0,6.0131664,30.779999,0.0,78.53109
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-26,3733.0,0.0,7.509001,31.229996,0.0,81.02012
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-27,3470.0,0.0,8.161082,17.28,0.0,85.89408
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-02-28,2506.0,0.0,6.7256665,18.149996,0.0,85.48279
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-01,2070.0,0.0,4.809,18.675001,0.0,91.75083
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-02,2639.0,0.0,5.0548325,18.69,0.0,91.102974
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-03,3207.0,0.0,5.2527494,17.849998,0.0,89.4249
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-04,3431.0,0.0,4.94025,26.685,0.0,82.3659
